entity_id,entity_type,is_criminal,pattern_type
1VD8tWrX2ZiyUtSrXETGnzEbAizy,wallet,True,ransomware_peelchain
bc1dzmudx7rakk98d53kw0wat0etfd7t0,wallet,True,ransomware_peelchain
2f6e44018832ae1f46dbe7b478d441434530a87b1f57676510aa95f936ba6eb4,txid,True,ransomware_peelchain
bc1gj3leg6lsnzdargfhdv43gmat6gaj,wallet,True,ransomware_peelchain
e78726f6e1d355ea01efc890e5c875ed3220b6d2f78d150b2e41f32d1e845ffc,txid,True,ransomware_peelchain
bc18r4jc7ktgyrf4twwp43ed2n6cpvfqf,wallet,True,ransomware_peelchain
204198cb02d9983292a1bd0623d6f8afdd61e83d828d1ff923bf29ddf6099826,txid,True,ransomware_peelchain
1znE68KQi5RxhUhzAL4CfBmeJJ,wallet,True,ransomware_peelchain
a93ca6d2f4d9b0dc1b53acec6eb7da2b01ce5865c6a52dfd152d90a27536bf15,txid,True,ransomware_peelchain
bc1mek5srrtdxs6kd03trgt8m54k,wallet,True,ransomware_peelchain
96d903358110da92fdf12f15fe6133e19c66099838e75913bbc227839323943e,txid,True,ransomware_peelchain
1v89WFY8wdQcRyeyFbExA6dRYb,wallet,True,ransomware_peelchain
5f83e1077d663f5091474158dea7403ba6e956649fa19b79e8eb924e8c24e222,txid,True,ransomware_peelchain
1v6EsF4AoFDFS5tYf8MUzNQAAq1D5uhL,wallet,True,ransomware_peelchain
8105a73ad423f35b8aed3f4b3f86f0c15eae848905668ced8799f2fee626b6f6,txid,True,ransomware_peelchain
bc1meseq4w5s54gjdp88v5kfky,wallet,True,ransomware_peelchain
7450e8df0bcde63fbd9224ce0312126be615ffb5eb6109759d483e62b1c11642,txid,True,ransomware_peelchain
bc1eet8nd00hf3q2vd9tt5gxplzp920r,wallet,True,ransomware_peelchain
6875e46b5fd6b220c640972148729063de70a9ac8616901bba769d0741a00008,txid,True,ransomware_peelchain
1mt9YGV5RyseycRPB9zHNypY1czNDg,wallet,True,ransomware_peelchain
e2ee185d9b6bda362d375aacc6eb0a7727928ffa4da9d1cb6a1c11514ec190e6,txid,True,ransomware_peelchain
1sk4W8anr5rkkTrdWDaDpvv3X8F,wallet,True,ransomware_peelchain
43de2621f76d93aa273ac9d26815919792dabadd7e75b3e67c153b965ead0689,txid,True,ransomware_peelchain
bc1ujn98sx6t4rafnu7s3ld2lvwr4,wallet,True,ransomware_peelchain
7b70088d1694c0fbbe3d7b73ed9b2f2d05810211f937db8975bdab2625a613d9,txid,True,ransomware_peelchain
bc1lajfklgqqq3hyg7yxzelja8q,wallet,True,ransomware_peelchain
2eb24e5280086818ac1eb7341dce7c1e9bd4f04fa400e61ce247350317f377a2,txid,True,ransomware_peelchain
1pQ3D7jhfZcKHURSfVrRu7C8sDNHsM91,wallet,True,ransomware_peelchain
177428b1237c25c90fde203fc37071db3b909a6c7296bd3cd790cb04837fa4fd,txid,True,ransomware_peelchain
bc1ddzjnea4mfqare0qeytcz8ahxm6,wallet,True,ransomware_peelchain
e59c515b9756eb7ce5fe7953045380df2f378d835ecec6c7a153f1338c69818f,txid,True,ransomware_peelchain
bc1s6s5ygmrvharddux4ee4a2zhy3qa,wallet,True,ransomware_peelchain
bc1a64yhexrf63hp0l44x6dtakpe4yzak,wallet,True,ransomware_peelchain
96122d0a8a91066bf00610a7ad96085d86d5d3f37fd13327469bab460016c5a4,txid,True,ransomware_peelchain
1wk5XJjUFw5YrwHn3sdSWez9vbb6P,wallet,True,ransomware_peelchain
bc1u9lvgsde8zm59md4zsqp80mj9,wallet,True,ransomware_peelchain
9a944f35e1dd2995445fb8bd338e40eb229e42ef4a7e015e3dfdf9db4d6e228f,txid,True,ransomware_peelchain
bc1p88dkla7ntnjhal6ey3762p8n3z57,wallet,True,ransomware_peelchain
bc1s45c28jchtrca5h24nrmxj78uch,wallet,True,ransomware_peelchain
617817dd6efaf0af593f7fc1ba119714987cfd51c6073692f78928ae1d602b87,txid,True,ransomware_peelchain
bc1pym0jzaxmur66pq3t2q7acjyff8jtanw,wallet,True,ransomware_peelchain
bc1cf39dt4rpz5a4heqnlqs60jpfrt7q,wallet,True,ransomware_peelchain
6d4693d9acec768288249ed644cf53908bc2097ac0d88533a1ee1b2ee39eaf2d,txid,True,ransomware_peelchain
1yDN7WGdUSc7Ap9ivv8JYdJnVv,wallet,True,ransomware_peelchain
6553213519b062caf5ec215a5e73bdf2ec58c4275f9e1e355b13c523b55a0a9a,txid,True,ransomware_peelchain
1MyLWsZ3wFPW3P4sXaHgkiZ7VF5YTvp,wallet,True,ransomware_peelchain
86096802157eaa6a9da30affb8ce0a0f2f5a1512ec15edd92f008f9bf2672f56,txid,True,ransomware_peelchain
18sxKQF3jWG4x2DC3411V7Tq62e,wallet,True,ransomware_peelchain
50bb5e30c31ee9a8f7750ba4faf93d5e8185e29e9621b970c6d44e0a32f34511,txid,True,ransomware_peelchain
1Zm2tn4rb8XjtbuiHyEzqZuPxdB,wallet,True,ransomware_peelchain
cba9ba1960b86c83b26395d06be38094cdf2e562a393349c01ca745088a96f4e,txid,True,ransomware_peelchain
1vq86W6eRPJGHH1wCo7kH7Yvq7n5jdM78,wallet,True,ransomware_peelchain
aa72b81907fc9ea8be372150f5b80910590d5b0f5a07fa7679f99b87319a92a4,txid,True,ransomware_peelchain
1JU5Ffw6LwRrtSAFnunwKpcCd76yqrBxT2,wallet,True,ransomware_peelchain
32900649ad9e62525f0cf965689f3c5673af9c947585596fea50dd6900b8299c,txid,True,ransomware_peelchain
113urWT6wygZ7EoKEgd8puKXvDWwagNLc,wallet,True,ransomware_peelchain
fc4fe1a9f9e14dd67113e3d884ea7fc7081374326ba0052d7223be679c6c2750,txid,True,ransomware_peelchain
1WeDtPi6nQgLyrCEryhKob9Pyxi,wallet,True,ransomware_peelchain
9408d8fe2b0d4e7fb91f1306d07fc5e6b264c6a06d0748470c725d03e474deae,txid,True,ransomware_peelchain
bc1tv370ek5zmh7hvsuhs2y863pj,wallet,True,ransomware_peelchain
8802ed9ed8d938b49491290d59faa23bde084eff18657462fada5b15921b7285,txid,True,ransomware_peelchain
1hkgJGSNw1Qq4wCg8sPAR5u5A1c,wallet,True,ransomware_peelchain
